Protein(g),Carbs(g),Fat(g),Diet_type_mediterranean,Diet_type_vegan,Cuisine_Group_Amerika,Cuisine_Group_Eropa,Cluster_DBSCAN
0.18929402637703646,0.18338146210130926,0.12785045607297169,0.0,1.0,1.0,0.0,0
0.17038912253480867,0.3123303732331676,0.221675468074892,0.0,1.0,1.0,0.0,0
0.4239516557102609,0.17908244132270884,0.4179668746999521,0.0,1.0,1.0,0.0,0
0.2982728349189498,0.5782400069479124,0.5,0.0,1.0,1.0,0.0,0
0.5844187660773345,0.4523959441561543,0.5696711473835815,0.0,1.0,1.0,0.0,0
0.12057490506716753,0.36563388844258204,0.17951872299567934,0.0,1.0,1.0,0.0,0
0.18476174921399696,0.2309963740582322,0.2940770523283726,0.0,1.0,1.0,0.0,0
0.24653954513903067,0.59083309811755,0.8617978876620261,0.0,1.0,1.0,0.0,0
0.22138744845045116,0.31057168291464926,0.2452292366778685,0.0,1.0,1.0,0.0,0
0.29067820832142416,0.9291747182838657,0.747059529524724,0.0,1.0,1.0,0.0,0
0.1500142909640276,0.27600581887660947,0.1801488238118099,0.0,1.0,1.0,0.0,0
0.4887101384181944,0.17484855722257206,0.10021603456553049,0.0,1.0,1.0,0.0,0
0.5395451390306643,0.984215211585644,0.2178648583773404,0.0,1.0,1.0,0.0,0
0.21514025560409944,0.08815163818746337,0.11128780604896786,0.0,1.0,1.0,0.0,0
0.2509901596504838,0.586034696137395,0.20658305328852616,0.0,1.0,1.0,0.0,0
0.05932791637744477,0.23286362550752332,0.2345175228036486,0.0,1.0,1.0,0.0,0
0.5886652239598219,0.6181036541676619,0.16436629860777727,0.0,1.0,1.0,0.0,0
0.2711200032665061,0.5201815142106521,0.8528564570331254,0.0,1.0,1.0,0.0,0
0.174880568372055,0.7481381766072476,0.36584853576572257,0.0,1.0,1.0,0.0,0
0.1302519292801437,0.1446468506415963,0.040476476236197795,0.0,1.0,1.0,0.0,0
0.11436854354660896,0.08083461797338082,0.20364258281325015,0.0,1.0,1.0,0.0,0
0.2246947858396962,0.9551208285385501,0.15755520883341337,0.0,1.0,1.0,0.0,0
0.46466048752602995,0.8490131793212758,0.2917666826692271,0.0,1.0,0.0,1.0,1
0.11857417010330325,0.3874329635017479,0.22200552088334136,0.0,1.0,1.0,0.0,0
0.659875056143073,0.6608984519182752,0.5264342294767163,0.0,1.0,1.0,0.0,0
0.08480666367236944,0.28073908417830085,0.08056289006240999,0.0,1.0,1.0,0.0,0
0.30554081091013024,0.813730811820136,0.11026764282285167,0.0,1.0,1.0,0.0,0
0.17177738761177574,0.3709099593981371,0.12626020163226118,0.0,1.0,1.0,0.0,0
0.09901596504838511,0.17493540612719022,0.12160945751320212,0.0,1.0,0.0,1.0,1
0.18892654444489812,0.6465032459778102,0.07858257321171389,0.0,1.0,1.0,0.0,0
0.26303540075946263,0.9143018433680006,0.275144023043687,0.0,1.0,1.0,0.0,0
0.08725654321995835,0.2635430010638991,0.14459313490158426,0.0,1.0,1.0,0.0,0
0.2342901474010861,0.2922899884925202,0.566400624099856,0.0,1.0,1.0,0.0,0
0.20227838797925768,0.47758212649542964,0.17912866058569374,0.0,1.0,1.0,0.0,0
0.15426074884651506,0.9230301582821288,0.8149903984637543,0.0,1.0,1.0,0.0,0
0.32991711240863986,0.7276635473435091,0.0838334133461354,0.0,1.0,1.0,0.0,0
0.027601976236168387,0.08886814165056345,0.20442270763322132,0.0,1.0,1.0,0.0,0
0.14274631497284718,0.6183424886553619,0.6620559289486319,0.0,1.0,1.0,0.0,0
0.2796537503572741,0.6059882319734243,0.14918386941910708,0.0,1.0,1.0,0.0,0
0.20689232779388347,0.4814469027509391,0.20679308689390305,0.0,1.0,1.0,0.0,0
